Request_ID,Arrival_Time,Cylinder_No,Burst_Time,Prev_Head,Curr_Head,Request_Type,Queue_Len,Seek_Time
1,0.62,95,1,72,95,Read,10,2.3
2,0.85,175,5,95,175,Write,1,8
3,2.72,143,4,175,143,Write,3,3.2
4,3.66,27,9,143,27,Read,5,11.6
5,5.55,81,8,27,81,Read,6,5.4
6,6.17,182,7,81,182,Read,4,10.1
7,6.86,108,7,182,108,Read,7,7.4
8,7.41,62,4,108,62,Write,1,4.6
9,8.97,138,7,62,138,Read,3,7.6
10,10.23,26,1,138,26,Write,1,11.2
11,11.59,28,6,26,28,Write,1,0.2
12,12.12,174,7,28,174,Read,3,14.6
13,13.23,28,8,174,28,Read,1,14.6
14,13.86,177,10,28,177,Write,6,14.9
15,15.72,159,5,177,159,Read,2,1.8
16,16.88,18,6,159,18,Read,9,14.1
17,18.36,175,1,18,175,Write,5,15.7
18,19.28,32,8,175,32,Write,1,14.3
19,20.66,108,9,32,108,Read,5,7.6
20,20.82,50,9,108,50,Read,10,5.8
21,22.34,159,7,50,159,Write,9,10.9
22,22.78,76,10,159,76,Read,3,8.3
23,23.55,79,4,76,79,Write,2,0.3
24,24.35,195,3,79,195,Write,6,11.6
25,25.52,154,5,195,154,Read,5,4.1
26,27.21,66,5,154,66,Write,4,8.8
27,27.99,55,4,66,55,Write,5,1.1
28,29.23,26,9,55,26,Write,2,2.9
29,30.17,18,6,26,18,Write,5,0.8
30,31.53,25,2,18,25,Read,3,0.7
31,32.4,34,1,25,34,Write,4,0.9
32,34.24,40,6,34,40,Write,4,0.6
33,34.78,35,10,40,35,Read,8,0.5
34,35.38,51,9,35,51,Write,1,1.6
35,37.38,143,5,51,143,Read,2,9.2
36,39.18,33,8,143,33,Write,6,11
37,40.01,154,2,33,154,Read,7,12.1
38,41.98,125,1,154,125,Read,7,2.9
39,42.99,116,5,125,116,Read,3,0.9
40,44.32,93,4,116,93,Read,2,2.3
41,45.35,37,4,93,37,Write,3,5.6
42,45.99,184,3,37,184,Read,3,14.7
43,46.15,160,5,184,160,Write,5,2.4
44,47.41,181,4,160,181,Write,6,2.1
45,48.59,70,8,181,70,Read,7,11.1
46,50.2,42,10,70,42,Write,1,2.8
